Textbox7,Textbox1,Textbox3,Textbox12,Textbox11,Textbox5,Textbox18,Textbox19,Textbox14,Textbox17,Textbox15,InventSiteId,CountedPd,CorrectPd,AccuracyPd,CountedMtd,CorrectMtd,AccuracyMtd,CountedYtd,CorrectYtd,AccuracyYtd,Textbox9,Textbox32,Textbox33,Textbox2,Textbox35,Textbox36,Textbox4,Textbox38,Textbox39,Textbox6
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4121,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4123,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4124,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4125,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4126,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,5000,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,5100,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,6101,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7101,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7102,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7103,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7104,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7105,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
